springA,springB,springC,A_predict,B_predict,C_predict,summerA,summerB,summerC,A_predict,B_predict,C_predict,autumnA,autumnB,autumnC,A_predict,B_predict,C_predict,winterA,winterB,winterC,A_predict,B_predict,C_predict
41.6,45.1,43.9,41.49,45.26,43.88,41.2,46,44.4,41.33,46.08,44.54,35.8,40.5,39.2,35.92,40.45,39.15,36,40.8,39.3,35.98,40.69,39.33
41.6,45,43.8,41.62,45.07,43.76,41.2,46,44.4,41.28,46.03,44.41,35.9,40.5,39.2,35.95,40.46,39.14,36,40.7,39.3,35.95,40.66,39.32
41.6,45,43.8,41.61,45.08,43.76,41.2,46,44.4,41.23,45.97,44.32,35.9,40.5,39.2,35.95,40.48,39.16,36,40.7,39.3,35.98,40.66,39.31
41.6,45,43.8,41.61,45.07,43.75,41.2,46,44.4,41.21,45.96,44.32,35.9,40.5,39.2,35.97,40.48,39.16,36,40.7,39.3,35.97,40.64,39.28
41.6,45,43.8,41.62,45.06,43.75,41.2,46,44.4,41.21,45.98,44.34,35.9,40.5,39.2,35.97,40.48,39.16,36,40.7,39.3,35.97,40.63,39.27
41.6,45,43.8,41.62,45.06,43.75,41.2,46,44.4,41.21,45.99,44.36,35.9,40.5,39.2,35.97,40.48,39.16,36,40.7,39.3,35.97,40.63,39.26
41.6,45,43.8,41.62,45.06,43.75,41.2,46,44.4,41.21,46,44.36,35.9,40.5,39.2,35.97,40.47,39.16,36,40.7,39.3,35.98,40.63,39.26
41.6,45,43.8,41.62,45.07,43.76,41.2,46,44.4,41.2,45.99,44.36,35.9,40.5,39.2,35.97,40.47,39.15,36,40.7,39.3,35.98,40.63,39.26
41.6,45,43.8,41.62,45.07,43.76,41.2,46,44.4,41.19,45.99,44.36,35.9,40.5,39.2,35.97,40.48,39.15,36,40.7,39.3,35.99,40.63,39.25
41.6,45,43.8,41.62,45.07,43.76,41.2,46,44.4,41.18,45.98,44.35,35.9,40.5,39.2,35.96,40.48,39.15,36,40.7,39.3,36,40.62,39.25
41.6,45,43.8,41.63,45.08,43.77,40.9,45.7,44.1,40.99,45.76,44.16,35.9,40.5,39.2,35.96,40.48,39.15,36,40.7,39.3,36,40.62,39.25
41.6,44.9,43.7,41.63,45.06,43.76,40.9,45.7,44.1,40.92,45.7,44.1,36,40.5,39.2,35.98,40.48,39.15,36,40.7,39.3,36,40.62,39.24
41.6,44.9,43.7,41.63,45.05,43.75,40.9,45.7,44.1,40.9,45.69,44.08,36,40.5,39.2,35.99,40.47,39.15,36,40.7,39.3,36,40.61,39.24
41.6,44.9,43.7,41.63,45.04,43.74,40.9,45.7,44.1,40.89,45.68,44.07,36,40.5,39.2,36,40.47,39.14,36,40.7,39.3,36,40.61,39.23
41.6,44.9,43.7,41.62,45.03,43.74,40.9,45.7,44.1,40.88,45.68,44.06,36,40.5,39.2,36,40.47,39.14,36,40.7,39.3,36,40.6,39.23
41.6,44.9,43.7,41.62,45.02,43.73,40.9,45.7,44.1,40.87,45.67,44.05,36,40.5,39.2,36.01,40.47,39.14,36,40.7,39.3,36,40.6,39.23
41.6,44.9,43.7,41.62,45.02,43.73,40.9,45.7,44.1,40.86,45.66,44.04,36,40.5,39.2,36.01,40.47,39.14,36,40.7,39.3,36,40.6,39.22
41.6,44.9,43.7,41.62,45.01,43.73,40.9,45.7,44.1,40.85,45.66,44.03,36,40.5,39.2,36.02,40.47,39.14,36,40.7,39.3,35.99,40.6,39.22
41.6,44.9,43.7,41.62,45.01,43.72,40.9,45.7,44.1,40.85,45.66,44.03,36,40.5,39.2,36.02,40.47,39.13,36,40.7,39.3,35.99,40.59,39.22
41.6,44.9,43.7,41.62,45,43.72,40.9,45.7,44.1,40.84,45.66,44.02,36,40.5,39.2,36.03,40.47,39.13,36,40.7,39.3,35.99,40.59,39.22
41.6,44.9,43.7,41.62,45,43.72,40.7,45.5,43.9,40.71,45.5,43.88,36,40.5,39.2,36.03,40.47,39.13,36,40.7,39.3,35.99,40.59,39.21
41.6,44.7,43.6,41.62,44.96,43.7,40.7,45.5,43.9,40.67,45.46,43.84,36.1,40.5,39.2,36.05,40.47,39.13,36,40.6,39.2,35.98,40.56,39.19
41.6,44.7,43.6,41.62,44.93,43.68,40.7,45.5,43.9,40.67,45.47,43.84,36.1,40.5,39.2,36.07,40.47,39.13,36,40.6,39.2,35.97,40.54,39.16
41.6,44.7,43.6,41.62,44.91,43.67,40.7,45.5,43.9,40.66,45.47,43.84,36.1,40.5,39.2,36.08,40.47,39.12,36,40.6,39.2,35.97,40.52,39.15
41.6,44.7,43.6,41.61,44.89,43.66,40.7,45.5,43.9,40.66,45.46,43.83,36.1,40.5,39.2,36.09,40.47,39.12,36,40.6,39.2,35.97,40.51,39.13
41.6,44.7,43.6,41.61,44.87,43.64,40.7,45.5,43.9,40.65,45.46,43.82,36.1,40.5,39.2,36.1,40.46,39.12,36,40.6,39.2,35.97,40.5,39.12
41.6,44.7,43.6,41.61,44.85,43.63,40.7,45.5,43.9,40.64,45.45,43.82,36.1,40.5,39.2,36.12,40.46,39.12,36,40.6,39.2,35.97,40.49,39.12
