springA,springB,springC,springP,summerA,summerB,summerC,summerP,autumnA,autumnB,autumnC,autumnP,WinterA,WinterB,WinterC,WinterP,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41.1,0,40.2,41.7,41,10.5,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41.1,0,40.2,41.7,41,10.5,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.8,45.3,44.7,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.5,45.1,44.5,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.2,45.8,44.9,0,43.5,45.1,44.5,0,40.4,41.8,41,0,40.1,41.6,40.9,0,,,,,,,,,
44.1,45.8,44.9,0,43.5,45.1,44.5,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.5,45.1,44.5,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.5,45.1,44.5,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.5,45.1,44.5,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.5,45.1,44.5,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.5,45.1,44.5,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.5,45.1,44.5,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.5,45.1,44.5,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.3,44.9,44.3,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.8,44.9,0,43.3,44.9,44.3,0,40.3,41.8,41,0,40.1,41.6,40.8,0,,,,,,,,,
44.1,45.7,44.8,0,43.3,44.9,44.3,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.3,44.9,44.3,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.3,44.9,44.3,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.3,44.9,44.3,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.3,44.9,44.3,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.3,44.9,44.3,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.3,44.9,44.3,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.3,44.9,44.3,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.1,44.7,44.1,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44.1,45.7,44.8,0,43.1,44.7,44.1,0,40.3,41.7,41,0,40,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,43.1,44.7,44.1,0,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,43.1,44.7,44.1,0,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,43.1,44.7,44.1,0,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,43.1,44.7,44.1,0,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,43.1,44.7,44.1,0,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,43.1,44.7,44.1,0,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,43.1,44.7,44.1,0,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,43.1,44.7,44.1,0,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.7,44.8,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.9,41.5,40.7,0,,,,,,,,,
44,45.6,44.7,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.9,44.6,43.9,178.5,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
44,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,41,0,39.8,41.4,40.6,0,,,,,,,,,
43.9,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.8,44.4,43.7,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.6,44.3,43.6,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.7,0,42.6,44.3,43.6,0,40.2,41.7,40.9,0,39.7,41.3,40.5,0,,,,,,,,,
43.9,45.6,44.6,0,42.6,44.3,43.6,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.6,44.3,43.6,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.6,44.3,43.6,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.6,44.3,43.6,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.6,44.3,43.6,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.6,44.3,43.6,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.6,44.3,43.6,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.6,44.3,43.6,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.6,40.9,0,39.7,41.3,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.5,44.2,43.5,0,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.4,44,43.4,42,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.6,0,42.4,44,43.4,42,40.1,41.7,40.9,10.5,39.7,41.2,40.4,0,,,,,,,,,
43.9,45.6,44.5,0,42.4,44,43.4,42,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.4,44,43.4,42,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.4,44,43.4,42,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.4,44,43.4,42,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.4,44,43.4,42,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.4,44,43.4,42,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.4,44,43.4,42,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.4,44,43.4,42,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.3,43.9,43.2,28,40.1,41.7,40.9,17.5,39.6,41.2,40.3,0,,,,,,,,,
